,id,lat,lon,diam,depth
9909,18-000011,-28.447,-50.979,77.23,2.67
10078,18-000180,-29.384,-52.655,18.22,0.69
10079,18-000181,-28.37,-55.101,18.2,0.98
10124,18-000226,-29.03,-52.585,15.74,0.61
10182,18-000284,-28.205,-52.284,13.59,0.0
10316,18-000418,-28.314,-53.219,10.02,0.82
19931,26-000026,-32.209,-50.643,72.11,0.41
19971,26-000106,-31.358,-54.577,48.49,0.31
19982,26-000127,-31.047,-54.307,45.47,0.0
20031,26-000227,-30.334,-52.838,34.7,0.18
20042,26-000246,-32.714,-54.847,32.75,1.04
20139,26-000423,-32.793,-53.926,23.13,0.81
20255,26-000616,-31.888,-54.023,17.3,0.97
20272,26-000641,-33.677,-53.177,16.73,0.45
20275,26-000645,-30.993,-54.152,16.62,0.78
20287,26-000673,-32.089,-51.903,15.98,1.08
20291,26-000681,-33.346,-51.783,15.75,0.41
20357,26-000807,-30.016,-56.052,13.59,0.87
20575,26-001156,-31.369,-51.008,9.2,0.63
20628,26-001256,-32.791,-50.643,8.38,0.43
