,id,lat,lon,diam,depth
10531,19-000093,-27.339,-0.869,52.05,0.32
10554,19-000116,-25.63,-0.409,46.51,0.99
10593,19-000155,-27.227,-3.059,39.33,0.0
10627,19-000189,-25.909,-0.063,35.49,0.34
10668,19-000230,-26.916,-0.798,31.24,0.0
10697,19-000259,-24.56,-2.012,29.7,1.77
10724,19-000286,-24.069,-4.569,28.29,0.27
10766,19-000328,-26.232,-1.64,25.95,0.69
10770,19-000332,-28.039,-5.593,25.83,0.31
10851,19-000413,-24.959,-1.14,22.03,0.34
10853,19-000415,-27.275,-5.367,21.96,0.56
10947,19-000509,-27.966,-2.246,19.53,1.24
10952,19-000514,-26.979,-1.422,19.44,0.0
11128,19-000690,-28.093,-0.392,15.0,0.26
11248,19-000810,-22.732,-1.121,13.12,0.26
11263,19-000825,-23.21,-2.687,12.93,0.29
11285,19-000847,-24.112,-5.337,12.54,0.33
11295,19-000857,-26.383,-3.213,12.35,0.0
11323,19-000885,-26.482,-4.048,12.02,0.31
11332,19-000894,-27.401,-2.824,11.88,0.74
11376,19-000938,-26.85,-1.629,11.43,0.25
11422,19-000984,-27.961,-2.637,10.88,0.78
11442,19-001004,-26.153,-1.431,10.65,0.52
11445,19-001007,-23.035,-2.859,10.64,0.18
11463,19-001025,-25.615,-2.215,10.47,0.74
11511,19-001073,-23.647,-3.41,9.98,0.11
11520,19-001082,-26.723,-3.49,9.85,0.0
11536,19-001098,-26.985,-1.046,9.73,0.0
11548,19-001110,-25.353,-4.868,9.65,0.08
11561,19-001123,-26.29,-2.849,9.52,0.2
11564,19-001126,-22.629,-1.578,9.5,0.79
11597,19-001159,-26.544,-0.179,9.29,0.17
11646,19-001208,-23.102,-3.205,9.03,0.05
11667,19-001229,-22.897,-1.425,8.84,0.61
11787,19-001349,-23.951,-2.365,8.09,0.63
11792,19-001354,-25.977,-2.255,8.07,0.79
