,id,lat,lon,diam,depth
15238,22-000009,-23.921,90.948,91.4,0.35
15326,22-000097,-27.359,94.824,47.66,0.35
15371,22-000142,-26.663,94.716,39.5,1.65
15444,22-000215,-24.096,90.673,32.87,1.04
15446,22-000217,-24.701,94.499,32.46,1.64
15471,22-000242,-24.887,92.66,29.84,0.99
15477,22-000248,-26.922,94.307,29.55,0.69
15545,22-000316,-23.474,95.423,25.83,1.05
15637,22-000408,-24.135,90.12,22.38,1.71
15673,22-000444,-25.257,92.327,21.3,0.19
15797,22-000568,-26.645,90.645,17.85,1.1
15815,22-000586,-27.72,94.477,17.67,0.42
15848,22-000619,-23.221,94.799,16.83,0.54
15872,22-000643,-27.778,93.383,16.43,1.25
15927,22-000698,-25.062,95.42,15.75,0.5
15959,22-000730,-25.194,90.277,15.16,0.34
15966,22-000737,-23.339,92.711,15.07,0.51
16003,22-000774,-25.434,94.852,14.53,0.1
16037,22-000808,-25.338,95.306,13.99,0.45
16043,22-000814,-27.258,90.448,13.88,0.09
16070,22-000841,-25.188,93.622,13.6,0.13
16071,22-000842,-23.287,90.801,13.59,0.47
16113,22-000884,-24.238,94.285,13.02,0.29
16176,22-000947,-24.031,95.577,12.26,0.31
16314,22-001085,-23.498,90.626,11.04,1.11
16342,22-001113,-22.949,95.477,10.77,0.69
16391,22-001162,-26.228,93.23,10.32,0.28
16396,22-001167,-24.378,93.546,10.28,0.22
16435,22-001206,-25.741,95.149,10.01,0.26
16483,22-001254,-26.441,93.29,9.66,0.18
16498,22-001269,-25.605,92.465,9.56,0.17
16516,22-001287,-22.948,91.494,9.37,0.17
16527,22-001298,-23.336,93.06,9.24,0.0
16528,22-001299,-24.572,95.141,9.24,0.21
16558,22-001329,-24.846,90.468,9.05,0.0
16583,22-001354,-23.349,93.183,8.88,0.24
16589,22-001360,-27.24,92.96,8.84,0.81
16609,22-001380,-24.154,95.487,8.74,0.1
16643,22-001414,-23.489,91.091,8.54,0.88
16699,22-001470,-23.108,92.639,8.29,0.14
16724,22-001495,-23.123,93.102,8.11,0.0
16730,22-001501,-24.26,94.945,8.07,0.1
16735,22-001506,-24.042,92.911,8.06,0.31
