,id,lat,lon,diam,depth
753,05-000034,30.709,49.403,61.23,0.48
773,05-000060,30.456,49.511,47.49,2.22
804,05-000094,33.487,48.815,40.95,0.85
856,05-000153,33.57,48.523,32.35,0.87
863,05-000161,30.956,46.901,31.87,1.33
876,05-000176,32.579,46.398,29.92,0.28
890,05-000191,31.108,46.396,28.56,0.58
912,05-000221,31.574,49.924,26.62,0.5
957,05-000273,31.305,46.658,24.09,0.33
981,05-000303,32.976,47.209,22.82,0.54
1016,05-000345,30.154,46.6,20.98,0.12
1031,05-000363,32.333,49.068,20.45,0.29
1104,05-000448,31.725,45.537,17.25,0.44
1112,05-000458,33.693,45.567,16.92,0.26
1156,05-000510,30.988,48.835,15.25,0.78
1175,05-000531,33.61,47.282,14.78,0.36
1228,05-000591,33.153,46.296,13.34,0.29
1247,05-000620,33.097,48.504,12.85,0.14
1255,05-000628,33.444,47.161,12.78,0.65
1264,05-000640,32.546,45.423,12.57,0.41
1298,05-000683,32.563,48.983,11.82,0.22
1330,05-000723,31.713,50.248,11.35,0.41
1354,05-000750,33.457,45.485,11.0,0.22
1383,05-000789,30.823,45.808,10.57,0.5
1419,05-000833,33.2,47.173,10.16,0.23
1432,05-000847,30.657,48.449,10.04,0.08
1469,05-000890,32.261,46.711,9.62,0.07
6194,13-000248,29.039,50.026,29.81,1.3
6257,13-000311,29.783,45.17,24.63,0.69
6313,13-000367,29.593,49.177,21.4,0.52
6383,13-000437,29.659,50.386,18.31,0.47
6446,13-000500,28.916,49.237,16.77,0.35
6505,13-000559,29.727,45.958,15.27,0.34
6739,13-000793,29.512,48.013,11.46,0.08
6756,13-000810,28.297,50.385,11.21,0.63
6892,13-000946,28.523,46.737,9.74,0.59
6952,13-001006,29.25,48.512,9.09,0.49
6964,13-001018,29.776,46.367,9.02,0.0
6971,13-001025,29.155,48.989,8.95,0.08
7009,13-001063,29.192,49.163,8.67,0.17
