,id,lat,lon,diam,depth
21622,28-000145,-43.681,102.929,39.57,1.06
21650,28-000232,-40.934,106.2,30.47,0.74
21651,28-000235,-42.383,101.877,30.35,0.64
21689,28-000338,-39.493,104.153,24.11,0.48
21691,28-000344,-43.5,103.983,23.8,0.86
21755,28-000500,-40.617,105.127,17.27,0.51
21764,28-000520,-44.914,101.73,16.8,0.06
21765,28-000524,-42.621,102.003,16.67,0.29
21769,28-000529,-44.478,101.428,16.61,0.25
21837,28-000684,-40.934,105.729,13.02,0.37
21851,28-000717,-41.272,106.187,12.5,0.33
21856,28-000729,-39.492,103.538,12.3,0.18
21868,28-000752,-40.185,106.135,11.91,0.0
21878,28-000782,-40.415,106.405,11.37,0.35
21879,28-000785,-40.737,105.962,11.33,0.0
21983,28-001028,-44.992,102.208,8.65,0.06
