,id,lat,lon,diam,depth
730,05-000011,31.873,27.743,108.57,1.56
760,05-000042,32.6,25.317,55.63,0.76
764,05-000046,31.693,26.33,53.01,0.96
774,05-000061,30.955,26.714,47.48,0.44
936,05-000249,33.734,24.162,25.49,0.56
986,05-000310,33.08,23.151,22.28,0.23
987,05-000311,33.701,27.5,22.24,0.56
999,05-000325,31.901,25.894,21.62,0.31
1097,05-000440,32.163,26.75,17.45,0.73
1324,05-000716,30.432,28.092,11.41,0.4
1386,05-000793,31.9,26.258,10.49,0.17
1389,05-000797,33.112,24.552,10.45,0.15
1480,05-000902,31.372,28.022,9.47,0.21
1508,05-000943,33.642,23.934,9.08,0.44
4283,12-000079,29.862,25.584,59.96,0.6
4308,12-000104,28.615,23.596,52.86,0.93
4642,12-000438,29.906,24.283,26.54,1.16
4711,12-000507,29.155,22.83,24.23,0.41
4751,12-000547,29.637,25.008,22.9,0.98
4898,12-000694,29.214,22.703,19.18,1.2
4985,12-000781,29.468,22.794,17.54,0.35
5014,12-000810,28.186,23.5,16.88,1.07
5059,12-000855,29.243,26.162,16.18,0.13
5245,12-001041,29.841,27.476,13.4,0.2
5578,12-001374,29.395,26.037,10.23,0.6
5634,12-001430,28.685,27.302,9.84,0.14
5650,12-001446,28.9,27.075,9.73,0.19
