,id,lat,lon,diam,depth
5977,13-000031,11.249,49.747,82.23,1.72
5979,13-000033,6.317,48.021,80.49,1.57
5991,13-000045,6.328,45.147,71.09,0.27
6056,13-000110,9.619,48.97,48.37,0.76
6093,13-000147,6.338,46.857,41.03,0.74
6147,13-000201,10.248,48.513,33.68,0.26
6154,13-000208,8.875,45.579,32.93,0.3
6157,13-000211,10.594,49.97,32.76,0.57
6164,13-000218,7.285,46.737,32.3,0.63
6179,13-000233,7.53,49.401,30.82,1.74
6184,13-000238,10.976,45.114,30.61,0.2
6193,13-000247,7.451,46.448,29.98,0.26
6204,13-000258,5.69,47.357,28.74,0.84
6217,13-000271,7.109,47.091,27.82,0.59
6239,13-000293,9.127,47.408,25.78,1.03
6309,13-000363,9.501,47.303,21.68,0.93
6310,13-000364,7.092,46.563,21.55,0.32
6315,13-000369,6.526,46.086,21.36,0.19
6353,13-000407,7.521,45.793,19.4,0.31
6371,13-000425,5.674,48.421,18.76,1.13
6378,13-000432,7.817,47.831,18.48,0.3
6401,13-000455,9.455,49.675,17.75,0.4
6444,13-000498,6.959,49.227,16.8,0.23
6459,13-000513,8.376,48.575,16.34,0.11
6481,13-000535,5.86,46.661,15.85,0.16
6483,13-000537,5.816,49.923,15.84,0.28
6557,13-000611,7.291,45.132,14.03,0.76
6614,13-000668,9.864,46.848,13.11,0.09
6668,13-000722,8.344,49.404,12.21,0.32
6694,13-000748,5.906,45.195,11.92,0.03
6741,13-000795,8.497,49.464,11.45,0.0
6748,13-000802,7.345,46.38,11.29,0.86
6778,13-000832,6.16,46.298,10.9,0.28
6824,13-000878,8.039,50.338,10.37,0.06
6909,13-000963,8.325,50.622,9.45,0.0
6928,13-000982,7.93,48.898,9.25,0.71
6937,13-000991,8.015,50.606,9.19,0.19
6954,13-001008,7.256,48.779,9.07,0.68
6985,13-001039,5.922,46.349,8.85,0.0
7010,13-001064,8.91,46.342,8.67,0.62
7063,13-001117,5.882,45.644,8.29,0.13
7069,13-001123,7.485,47.829,8.25,0.82
7095,13-001149,10.014,46.107,8.02,0.14
