,id,lat,lon,diam,depth
18366,24-000030,-39.013,-122.64,98.7,0.3
18430,24-000158,-36.233,-120.934,49.59,1.0
18515,24-000360,-35.799,-123.572,32.67,0.18
18524,24-000376,-34.598,-123.583,31.97,0.94
18525,24-000378,-33.837,-122.864,31.93,0.06
18535,24-000401,-38.163,-122.472,30.92,0.41
18594,24-000521,-37.955,-120.697,25.9,0.68
18661,24-000670,-36.603,-123.539,21.77,0.08
18686,24-000733,-38.444,-122.069,20.3,0.13
18757,24-000880,-36.737,-120.861,17.25,1.2
18775,24-000933,-33.808,-122.036,16.54,0.3
18790,24-000957,-36.555,-122.726,16.05,0.54
18824,24-001028,-36.188,-122.036,15.08,0.64
18962,24-001342,-35.566,-120.995,11.67,0.76
19001,24-001423,-36.012,-122.136,10.93,0.54
19012,24-001439,-36.228,-120.242,10.84,0.22
19027,24-001471,-36.842,-122.193,10.54,0.09
19095,24-001627,-37.754,-122.432,9.49,0.39
19121,24-001692,-36.147,-120.401,9.04,0.35
19129,24-001711,-35.428,-122.246,8.94,0.11
19199,24-001838,-35.109,-123.604,8.3,0.0
19220,24-001877,-35.465,-121.064,8.09,0.82
19336,25-000197,-34.564,-118.211,37.61,0.44
19346,25-000215,-36.99,-119.295,36.05,1.38
19347,25-000216,-35.93,-118.466,36.02,0.85
19392,25-000320,-36.43,-119.81,28.3,0.13
19407,25-000357,-35.927,-118.776,25.81,1.32
19427,25-000404,-37.252,-119.852,23.83,0.49
19484,25-000534,-37.622,-118.928,19.97,1.21
19531,25-000648,-36.82,-119.845,16.92,0.64
19705,25-001059,-36.347,-119.942,11.43,0.33
19809,25-001268,-35.403,-119.05,9.47,0.13
19817,25-001284,-37.443,-118.796,9.4,0.35
