,id,lat,lon,diam,depth
22050,29-000076,-34.421,176.669,56.85,0.56
22060,29-000090,-35.011,175.647,54.02,0.39
22167,29-000303,-38.022,177.107,34.55,0.7
22231,29-000434,-35.152,175.705,28.25,0.18
22234,29-000439,-35.226,177.588,28.11,0.22
22313,29-000614,-39.237,175.056,23.5,0.11
22381,29-000748,-34.012,179.189,20.74,0.42
22385,29-000760,-38.458,176.378,20.55,0.15
22421,29-000840,-35.514,178.103,19.33,0.48
22427,29-000852,-34.032,177.617,19.11,0.49
22438,29-000869,-35.591,177.723,18.78,0.5
22442,29-000879,-35.879,177.584,18.52,0.15
22443,29-000884,-33.78,177.116,18.46,0.24
22463,29-000924,-37.946,175.996,17.83,0.14
22488,29-000976,-36.406,178.63,16.91,1.04
22498,29-000995,-36.022,174.682,16.69,0.99
22557,29-001107,-35.708,177.003,15.28,0.16
22565,29-001125,-34.209,178.366,15.09,0.18
22643,29-001288,-33.773,175.407,13.35,0.91
22700,29-001415,-33.783,179.338,12.35,0.22
22759,29-001556,-35.209,177.009,11.13,0.15
22764,29-001566,-37.865,174.804,11.05,0.15
22776,29-001593,-38.146,179.301,10.85,0.09
22814,29-001672,-38.668,177.064,10.38,0.58
22825,29-001690,-39.191,179.214,10.25,0.06
22829,29-001698,-37.435,176.473,10.2,0.74
22968,29-001972,-37.332,176.293,8.66,0.97
23017,29-002081,-34.77,176.206,8.23,0.26
