,id,lat,lon,diam,depth
13566,21-000008,-2.132,57.444,110.86,2.77
13598,21-000040,-0.743,58.811,75.15,0.39
13776,21-000218,-1.642,58.212,37.65,1.93
13805,21-000247,-2.487,59.912,35.9,1.41
13857,21-000299,-5.495,57.168,32.92,0.43
14144,21-000586,-2.91,61.297,21.41,1.31
14150,21-000592,-5.084,60.866,21.3,0.45
14282,21-000724,-3.477,60.027,18.12,0.08
14486,21-000928,-4.782,61.602,14.85,1.09
14532,21-000974,-3.172,60.319,14.31,0.25
14700,21-001142,-4.3,56.367,12.35,0.46
14777,21-001219,-4.125,61.423,11.51,0.9
14803,21-001245,-3.925,58.142,11.29,0.76
14842,21-001284,-2.875,60.854,10.97,0.14
14853,21-001295,-4.174,60.429,10.87,0.89
14860,21-001302,-4.943,61.423,10.83,0.89
14944,21-001386,-4.275,61.267,10.1,0.79
14951,21-001393,-5.471,59.644,10.03,0.72
15054,21-001496,-0.048,60.364,9.21,0.68
15118,21-001560,-1.25,57.693,8.72,0.72
15164,21-001606,-2.798,59.884,8.42,0.58
15169,21-001611,-5.497,61.017,8.39,0.85
