,id,lat,lon,diam,depth
19923,26-000011,-36.762,-13.339,113.62,1.74
19925,26-000014,-38.659,-15.863,99.33,1.99
19949,26-000070,-37.665,-13.568,54.89,0.5
19972,26-000107,-37.332,-12.001,48.36,0.45
20027,26-000220,-34.397,-12.951,35.37,0.77
20043,26-000249,-34.739,-12.411,32.41,0.87
20068,26-000291,-34.236,-14.119,29.86,0.9
20075,26-000305,-34.756,-13.955,28.5,0.95
20101,26-000355,-33.926,-14.874,25.5,0.63
20127,26-000402,-34.14,-11.45,23.8,0.56
20137,26-000418,-36.41,-15.806,23.23,0.14
20161,26-000456,-34.517,-13.964,22.15,0.81
20176,26-000483,-33.75,-11.85,21.28,0.97
20192,26-000508,-35.464,-16.857,20.31,0.49
20196,26-000513,-34.797,-15.399,20.14,0.37
20361,26-000812,-35.463,-12.683,13.36,0.0
20371,26-000828,-36.697,-12.385,13.15,1.03
20383,26-000851,-34.029,-11.685,12.88,0.42
20429,26-000926,-36.119,-12.597,11.71,0.0
20459,26-000976,-39.02,-13.155,11.01,0.0
20466,26-000983,-36.432,-15.246,10.96,0.55
20476,26-001008,-35.475,-13.135,10.78,0.47
20481,26-001015,-35.612,-15.078,10.7,0.09
20563,26-001136,-35.41,-16.217,9.37,0.12
20583,26-001167,-37.291,-11.703,9.11,0.4
20601,26-001194,-39.11,-14.909,8.89,0.32
20611,26-001214,-38.444,-14.904,8.77,0.38
20658,26-001309,-36.331,-15.578,8.09,0.2
20664,26-001319,-39.293,-13.684,8.06,0.29
