,id,lat,lon,diam,depth
4204,12-000000,23.351,32.11,408.23,1.73
4223,12-000019,27.062,31.282,101.04,2.37
4367,12-000163,23.336,28.243,44.81,1.36
4378,12-000174,24.712,28.93,44.3,0.99
4535,12-000331,23.24,29.142,32.4,0.43
4633,12-000429,26.325,28.125,26.95,1.42
4716,12-000512,26.764,33.085,23.99,0.34
4749,12-000545,22.646,29.861,22.95,0.82
4769,12-000565,23.14,32.336,22.02,0.49
4802,12-000598,26.93,28.823,21.21,0.33
4806,12-000602,25.01,32.102,21.1,1.42
4846,12-000642,24.593,31.584,20.14,0.27
4872,12-000668,26.897,29.995,19.63,0.44
5013,12-000809,23.335,33.016,16.89,0.14
5026,12-000822,26.763,30.124,16.68,0.0
5030,12-000826,24.556,29.379,16.66,1.08
5163,12-000959,23.044,32.79,14.46,1.02
5175,12-000971,27.806,33.502,14.35,0.26
5328,12-001124,26.634,28.193,12.33,0.57
5417,12-001213,27.11,32.826,11.46,0.26
5445,12-001241,23.06,29.492,11.24,0.34
5507,12-001303,22.695,33.083,10.81,-0.01
5554,12-001350,26.078,32.465,10.39,0.94
5567,12-001363,25.144,32.729,10.29,0.1
5605,12-001401,25.422,33.272,10.04,0.72
5610,12-001406,25.438,31.686,10.01,0.84
5750,12-001546,27.567,28.704,9.07,0.76
5759,12-001555,23.54,30.976,9.01,0.16
5773,12-001569,23.913,30.852,8.91,0.0
5818,12-001614,24.114,29.658,8.73,0.21
5833,12-001629,27.997,31.109,8.64,0.0
5852,12-001648,27.712,33.273,8.55,0.0
5896,12-001692,23.838,30.999,8.26,0.14
