,id,lat,lon,diam,depth
1708,06-000152,32.406,83.119,14.71,0.32
1712,06-000158,33.493,84.142,14.45,0.92
1724,06-000174,33.576,81.873,13.51,0.1
1737,06-000189,30.187,79.506,13.02,0.59
1763,06-000229,33.261,80.539,11.1,0.07
1769,06-000238,32.499,83.317,10.78,0.47
1770,06-000239,30.789,82.95,10.78,0.33
1793,06-000271,31.067,82.302,9.96,0.42
1794,06-000275,33.1,81.13,9.85,0.4
1836,06-000336,31.71,82.377,8.64,0.44
1837,06-000338,32.648,83.372,8.61,0.25
1839,06-000341,33.6,82.035,8.58,0.24
6055,13-000109,28.505,83.403,48.76,1.87
6425,13-000479,29.758,81.003,17.23,1.01
6669,13-000723,28.647,80.301,12.18,0.13
6945,13-000999,29.017,84.113,9.15,0.86
