,id,lat,lon,diam,depth
10096,18-000198,-29.086,-78.438,17.21,0.1
10248,18-000350,-29.77,-77.062,11.48,0.26
10274,18-000376,-29.58,-75.302,10.88,0.82
10384,18-000486,-28.934,-76.773,8.76,0.68
19247,25-000051,-32.062,-76.101,70.61,2.14
19355,25-000238,-30.601,-77.62,33.95,0.92
19395,25-000332,-30.075,-74.217,27.52,0.47
19420,25-000391,-33.108,-75.66,24.27,1.16
19425,25-000400,-31.206,-75.339,23.98,1.3
19450,25-000458,-30.863,-78.063,22.04,0.55
19487,25-000544,-32.175,-77.385,19.64,1.08
19495,25-000568,-31.822,-78.6,18.85,1.12
19538,25-000671,-33.246,-74.616,16.41,0.52
19683,25-001019,-33.026,-77.225,12.04,0.14
19713,25-001083,-30.373,-76.392,11.13,0.0
19714,25-001084,-31.67,-76.688,11.13,0.75
19774,25-001196,-31.631,-75.009,9.97,0.65
19815,25-001280,-30.295,-78.396,9.41,0.0
19851,25-001358,-32.554,-76.423,8.78,0.7
19888,25-001434,-32.07,-76.851,8.26,0.44
