,id,lat,lon,diam,depth
15287,22-000058,-20.504,99.993,58.81,1.15
15341,22-000112,-21.593,96.888,43.72,1.28
15416,22-000187,-21.628,97.915,35.08,1.3
15418,22-000189,-18.477,98.737,34.84,2.05
15420,22-000191,-18.782,97.87,34.7,1.22
15484,22-000255,-20.701,96.732,29.09,1.04
15502,22-000273,-21.228,95.8,28.17,0.08
15534,22-000305,-21.278,97.361,26.31,0.47
15691,22-000462,-18.063,100.294,20.78,0.05
15702,22-000473,-19.008,98.748,20.45,1.5
15791,22-000562,-22.05,100.322,18.05,0.91
15809,22-000580,-22.054,97.887,17.7,0.99
15847,22-000618,-20.675,100.518,16.85,0.79
15852,22-000623,-20.44,97.214,16.78,0.2
15953,22-000724,-18.493,96.781,15.25,0.36
15991,22-000762,-16.928,96.252,14.63,0.07
16004,22-000775,-16.991,98.359,14.53,0.23
16019,22-000790,-17.348,96.909,14.25,0.49
16032,22-000803,-20.887,96.052,14.04,0.48
16077,22-000848,-21.223,97.844,13.49,0.3
16087,22-000858,-19.423,98.032,13.4,0.56
16092,22-000863,-22.29,96.329,13.36,0.36
16156,22-000927,-17.44,95.947,12.52,0.5
16183,22-000954,-19.04,100.1,12.22,0.89
16195,22-000966,-21.479,96.043,12.08,0.1
16256,22-001027,-20.694,99.198,11.62,0.95
16263,22-001034,-19.761,96.431,11.56,0.24
16312,22-001083,-17.049,96.147,11.08,0.23
16333,22-001104,-20.87,95.909,10.88,0.27
16381,22-001152,-18.786,97.336,10.41,0.36
16412,22-001183,-20.903,96.865,10.15,0.98
16430,22-001201,-21.926,96.512,10.04,0.79
16514,22-001285,-19.746,98.258,9.42,0.07
16525,22-001296,-19.122,98.895,9.27,0.61
16606,22-001377,-22.296,96.725,8.75,0.8
16722,22-001493,-19.931,98.923,8.14,0.13
16739,22-001510,-20.46,96.232,8.04,0.1
