,id,lat,lon,diam,depth
10134,18-000236,-28.275,-59.6,15.36,0.99
10188,18-000290,-28.258,-59.494,13.32,0.64
19573,25-000747,-33.308,-60.251,15.22,0.7
19864,25-001385,-32.285,-60.16,8.63,0.11
19905,25-001462,-32.654,-60.815,8.11,0.51
20162,26-000457,-32.291,-59.267,22.13,0.12
20252,26-000611,-30.775,-59.136,17.45,0.77
20338,26-000776,-30.701,-56.525,13.98,0.84
20440,26-000949,-33.026,-59.578,11.44,0.7
20607,26-001208,-33.12,-59.719,8.81,0.15
20618,26-001240,-32.792,-58.585,8.52,0.58
20660,26-001311,-31.932,-57.225,8.09,0.56
