,id,lat,lon,diam,depth
11835,20-000029,-9.187,31.85,88.66,1.36
11849,20-000043,-9.16,32.45,77.27,0.0
11852,20-000046,-10.415,31.847,75.16,1.59
11921,20-000115,-10.586,33.429,52.92,0.13
11952,20-000146,-8.027,32.746,47.98,1.28
11968,20-000162,-8.747,31.088,45.94,0.98
11986,20-000180,-5.835,30.409,42.34,0.16
11993,20-000187,-8.192,33.342,41.65,0.58
12007,20-000201,-6.273,29.703,40.67,0.5
12038,20-000232,-7.829,30.452,37.98,0.35
12058,20-000252,-11.087,28.208,36.23,1.77
12068,20-000262,-6.982,31.824,34.82,0.74
12094,20-000288,-10.42,33.27,33.44,1.97
12136,20-000330,-7.94,29.45,30.89,0.99
12151,20-000345,-8.162,29.926,30.29,0.62
12197,20-000391,-10.868,28.885,28.26,0.76
12255,20-000449,-11.208,30.499,26.39,0.84
12338,20-000532,-8.822,28.978,23.94,0.15
12356,20-000550,-7.057,30.85,23.3,0.58
12442,20-000636,-8.66,29.39,20.9,1.39
12475,20-000669,-9.67,31.398,20.14,1.51
12486,20-000680,-9.098,28.159,19.91,0.54
12511,20-000705,-10.653,28.466,19.33,0.2
12542,20-000736,-7.634,33.208,18.75,0.07
12562,20-000756,-7.352,29.207,18.33,0.33
12563,20-000757,-8.22,33.646,18.33,0.38
12569,20-000763,-6.643,31.365,18.26,0.44
12586,20-000780,-10.679,31.274,18.0,0.69
12593,20-000787,-10.366,29.767,17.78,1.31
12609,20-000803,-6.655,29.527,17.34,0.85
12610,20-000804,-5.997,32.962,17.33,0.2
12651,20-000845,-10.1,32.906,16.46,0.39
12678,20-000872,-8.71,30.102,16.09,0.21
12739,20-000933,-10.677,31.945,15.23,1.06
12756,20-000950,-8.818,33.157,14.97,0.29
12781,20-000975,-6.892,28.642,14.72,0.19
12785,20-000979,-5.801,29.256,14.71,0.26
12791,20-000985,-11.135,31.681,14.65,1.14
12827,20-001021,-9.769,32.434,14.17,0.3
12863,20-001057,-10.328,33.595,13.62,0.14
12865,20-001059,-9.289,31.03,13.59,1.04
12926,20-001120,-5.714,28.168,12.97,0.0
12989,20-001183,-7.524,32.847,12.23,0.14
13055,20-001249,-5.699,31.346,11.64,0.0
13091,20-001285,-7.555,32.615,11.26,0.13
13114,20-001308,-11.052,31.084,11.04,0.16
13148,20-001342,-9.837,33.354,10.74,0.15
13161,20-001355,-6.6,32.382,10.66,0.12
13210,20-001404,-9.995,28.706,10.29,0.21
13214,20-001408,-8.387,31.223,10.24,0.44
13285,20-001479,-8.827,32.94,9.67,0.0
13379,20-001573,-10.436,32.415,9.05,0.0
13408,20-001602,-6.173,28.455,8.88,0.1
13438,20-001632,-8.996,30.312,8.69,0.14
13490,20-001684,-9.638,30.092,8.41,0.1
13536,20-001730,-6.053,29.7,8.1,0.62
