,id,lat,lon,diam,depth
6007,13-000061,22.971,67.656,65.14,2.49
6034,13-000088,27.023,68.618,54.43,1.21
6040,13-000094,26.278,72.294,53.31,0.63
6068,13-000122,26.631,71.883,45.11,1.17
6078,13-000132,26.483,72.964,42.96,1.31
6112,13-000166,27.197,69.065,37.08,1.93
6121,13-000175,27.079,69.367,36.27,0.7
6134,13-000188,23.36,69.597,34.62,0.65
6150,13-000204,27.318,71.473,33.6,0.56
6151,13-000205,27.317,67.891,33.36,0.86
6171,13-000225,23.643,70.642,31.23,0.73
6180,13-000234,27.776,71.437,30.76,0.45
6215,13-000269,22.612,69.369,27.92,0.74
6220,13-000274,23.517,68.853,27.11,0.75
6240,13-000294,26.401,68.239,25.76,0.34
6255,13-000309,27.107,71.345,24.64,0.74
6263,13-000317,23.722,71.3,24.39,0.73
6266,13-000320,24.872,71.647,24.31,1.42
6267,13-000321,23.75,71.684,24.25,0.62
6285,13-000339,27.476,70.858,23.53,0.25
6327,13-000381,25.624,71.716,20.53,0.44
6347,13-000401,25.593,70.039,19.53,0.05
6374,13-000428,26.387,69.903,18.61,0.26
6397,13-000451,22.621,71.319,17.92,1.15
6429,13-000483,24.508,70.285,17.07,0.41
6443,13-000497,22.986,72.621,16.8,0.58
6456,13-000510,27.174,71.51,16.37,0.67
6512,13-000566,26.651,69.854,15.15,0.97
6513,13-000567,27.201,72.229,15.14,0.86
6514,13-000568,23.2,72.705,15.13,0.13
6540,13-000594,24.338,72.281,14.55,0.2
6581,13-000635,26.756,68.046,13.57,0.81
6633,13-000687,23.911,72.852,12.89,0.19
6689,13-000743,26.68,70.278,11.94,0.08
6705,13-000759,27.59,71.041,11.81,0.23
6723,13-000777,22.745,71.941,11.61,0.2
6754,13-000808,24.287,71.905,11.21,0.73
6785,13-000839,23.823,73.06,10.85,0.18
6798,13-000852,26.365,69.244,10.74,0.13
6842,13-000896,23.304,68.724,10.16,0.4
6847,13-000901,24.044,67.515,10.1,0.76
6848,13-000902,28.02,67.756,10.1,0.65
6886,13-000940,22.678,70.754,9.79,0.0
6898,13-000952,23.859,72.502,9.66,0.3
6908,13-000962,26.341,71.324,9.45,0.27
6934,13-000988,24.954,71.797,9.22,0.0
6960,13-001014,22.64,69.881,9.03,0.15
6975,13-001029,22.738,69.826,8.95,0.07
6992,13-001046,27.902,70.914,8.8,0.57
7001,13-001055,24.486,72.282,8.73,0.1
7008,13-001062,24.43,69.711,8.68,0.45
7012,13-001066,25.76,69.673,8.66,0.16
7020,13-001074,26.01,71.348,8.63,0.14
7044,13-001098,25.452,68.221,8.43,0.41
7057,13-001111,23.152,72.598,8.34,0.57
7062,13-001116,24.453,69.151,8.3,0.0
7071,13-001125,23.364,67.915,8.24,0.54
