,id,lat,lon,diam,depth
4216,12-000012,8.272,18.55,106.67,2.0
4255,12-000051,8.571,20.95,74.03,2.59
4323,12-000119,6.814,17.677,50.17,0.8
4386,12-000182,6.121,18.279,43.72,0.95
4387,12-000183,7.223,21.435,43.69,0.89
4445,12-000241,9.793,22.062,38.85,1.85
4471,12-000267,6.882,18.034,36.75,2.01
4555,12-000351,5.628,19.237,30.88,0.76
4600,12-000396,9.539,20.222,28.56,0.45
4815,12-000611,7.606,21.998,20.93,0.54
4954,12-000750,10.229,17.228,18.06,0.53
4968,12-000764,6.897,18.479,17.82,1.12
5004,12-000800,10.253,19.14,17.04,0.88
5023,12-000819,10.499,20.386,16.75,0.57
5037,12-000833,10.789,17.844,16.48,0.7
5052,12-000848,10.182,18.399,16.28,0.59
5087,12-000883,10.077,18.071,15.69,0.27
5100,12-000896,7.442,19.81,15.46,0.24
5104,12-000900,10.698,17.648,15.4,0.51
5119,12-000915,7.565,17.53,15.17,0.31
5136,12-000932,7.239,21.076,14.91,1.0
5211,12-001007,10.893,18.641,13.82,0.63
5358,12-001154,9.686,20.242,12.09,0.49
5390,12-001186,10.154,19.775,11.75,0.85
5398,12-001194,8.975,16.953,11.65,0.42
5405,12-001201,9.684,22.477,11.56,0.81
5447,12-001243,9.003,18.021,11.24,0.0
5464,12-001260,10.769,21.672,11.15,0.82
5660,12-001456,7.997,17.35,9.65,0.16
5678,12-001474,10.63,18.347,9.53,0.26
5683,12-001479,6.186,17.443,9.5,0.76
5783,12-001579,10.596,22.275,8.89,0.34
