,id,lat,lon,diam,depth
10445,19-000007,-26.04,-34.019,152.66,2.14
10453,19-000015,-22.603,-37.793,93.84,0.59
10490,19-000052,-27.222,-36.89,64.2,2.25
10515,19-000077,-24.218,-38.075,55.5,0.0
10893,19-000455,-24.774,-34.743,20.86,0.89
10963,19-000525,-24.025,-39.005,19.13,0.27
10966,19-000528,-27.418,-38.143,19.01,1.09
10992,19-000554,-23.25,-37.343,18.22,0.32
11076,19-000638,-24.263,-36.192,16.1,0.41
11115,19-000677,-28.096,-37.25,15.27,0.3
11126,19-000688,-24.163,-35.973,15.02,1.48
11157,19-000719,-27.966,-36.14,14.58,0.41
11190,19-000752,-24.633,-37.054,14.02,0.22
11192,19-000754,-24.101,-39.293,13.99,0.91
11235,19-000797,-24.098,-38.363,13.28,0.0
11296,19-000858,-26.693,-37.543,12.35,0.0
11322,19-000884,-27.753,-38.082,12.03,0.28
11393,19-000955,-27.77,-38.689,11.13,0.12
11413,19-000975,-25.009,-37.699,10.96,0.05
11486,19-001048,-24.884,-36.959,10.14,0.81
11609,19-001171,-28.082,-33.833,9.23,0.17
11635,19-001197,-25.334,-37.3,9.1,0.42
11638,19-001200,-22.777,-34.36,9.08,1.18
11746,19-001308,-23.171,-37.145,8.37,0.0
11797,19-001359,-26.825,-36.84,8.05,0.0
