id,lat,lon,diam,depth
11-013441,23.018,-15.546,1.14,0.0
11-013442,24.629,-4.069,1.14,0.0
11-013443,13.51,-19.139,1.14,0.0
11-013444,19.315,-0.794,1.14,0.0
11-013445,9.659,-11.243,1.14,0.0
11-013446,1.652,-29.242,1.14,0.0
11-013447,22.902,-18.51,1.14,0.0
11-013450,27.111,-13.61,1.14,0.0
11-013452,20.263,-2.879,1.14,0.0
11-013453,6.456,-11.986,1.14,0.0
11-013454,20.133,-9.665,1.14,0.0
11-013457,19.388,-0.729,1.14,0.0
11-013458,15.103,-20.46,1.14,0.0
11-013461,4.306,-24.363,1.14,0.0
11-013462,15.139,-15.18,1.14,0.0
11-013463,5.344,-7.907,1.14,0.0
11-013465,24.082,-16.75,1.14,0.0
11-013468,25.249,-14.616,1.14,0.0
11-013469,15.829,-13.699,1.14,0.0
11-013471,12.16,-15.23,1.14,0.0
11-013472,14.387,-18.321,1.14,0.0
11-013475,26.44,-11.451,1.14,0.0
11-013477,21.44,-2.481,1.14,0.0
11-013478,11.839,-20.041,1.14,0.0
11-013479,8.871,-17.402,1.14,0.0
11-013480,27.991,-11.145,1.14,0.0
11-013482,28.098,-18.485,1.14,0.0
11-013483,3.445,-14.498,1.14,0.0
11-013484,18.678,-9.891,1.14,0.0
11-013485,24.486,-6.083,1.14,0.0
11-013486,28.807,-16.972,1.14,0.0
11-013488,17.293,-25.15,1.14,0.0
11-013489,22.951,-6.243,1.14,0.0
11-013491,17.384,-16.336,1.14,0.0
11-013492,24.6,-26.709,1.14,0.0
11-013493,20.646,-27.357,1.14,0.0
11-013494,9.569,-17.76,1.14,0.0
11-013495,6.411,-23.993,1.14,0.0
11-013497,23.763,-13.061,1.14,0.0
11-013498,28.275,-1.329,1.14,0.0
11-013499,0.746,-27.151,1.14,0.0
11-013500,5.321,-14.432,1.14,0.0
11-013501,22.258,-0.323,1.14,0.0
11-013502,7.852,-17.049,1.14,0.0
11-013504,27.608,-10.576,1.14,0.0
11-013506,8.247,-11.773,1.14,0.0
11-013507,20.054,-1.518,1.14,0.0
11-013508,22.599,-18.993,1.14,0.0
11-013509,11.531,-11.41,1.14,0.0
11-013510,21.56,-25.612,1.14,0.0
11-013512,27.464,-10.974,1.14,0.0
11-013513,24.614,-10.336,1.14,0.0
11-013516,4.234,-16.206,1.14,0.0
11-013517,22.164,-28.23,1.14,0.0
11-013518,21.229,-19.298,1.14,0.0
11-013521,27.884,-1.946,1.14,0.0
11-013522,14.796,-28.166,1.14,0.0
11-013523,8.714,-21.358,1.14,0.0
11-013524,1.188,-11.443,1.14,0.0
11-013525,27.5,-27.006,1.14,0.0
11-013526,8.401,-10.844,1.14,0.0
11-013527,15.864,-22.444,1.14,0.0
11-013529,24.728,-14.801,1.14,0.0
11-013530,20.385,-8.555,1.14,0.0
11-013532,25.288,-19.485,1.14,0.0
11-013533,7.013,-2.649,1.14,0.0
11-013534,18.366,-24.654,1.14,0.0
11-013535,2.945,-11.92,1.14,0.0
11-013536,27.0,-10.886,1.14,0.0
11-013538,24.845,-5.912,1.14,0.0
11-013539,22.583,-12.074,1.14,0.0
11-013540,13.014,-27.125,1.14,0.0
11-013541,11.962,-4.359,1.14,0.0
11-013542,22.325,-16.696,1.14,0.0
11-013543,26.97,-13.917,1.14,0.0
11-013546,21.647,-27.365,1.14,0.0
11-013547,14.874,-4.33,1.14,0.0
11-013549,5.753,-24.482,1.14,0.0
11-013550,5.725,-5.078,1.14,0.0
11-013551,29.611,-27.931,1.14,0.0
11-013552,29.392,-2.93,1.14,0.0
11-013553,21.004,-2.603,1.14,0.0
11-013554,14.874,-23.627,1.14,0.0
11-013556,9.535,-12.245,1.14,0.0
11-013559,27.786,-15.414,1.14,0.0
11-013560,8.471,-4.376,1.14,0.0
11-013561,17.077,-26.442,1.14,0.0
11-013562,22.462,-3.343,1.14,0.0
11-013563,17.354,-1.539,1.14,0.0
11-013564,25.713,-6.708,1.14,0.0
11-013566,24.829,-14.401,1.14,0.0
11-013567,26.988,-9.612,1.14,0.0
11-013568,27.687,-14.731,1.14,0.0
11-013570,21.742,-28.556,1.14,0.0
11-013571,26.026,-13.814,1.14,0.0
11-013572,25.06,-19.824,1.14,0.0
11-013573,25.014,-15.976,1.14,0.0
11-013574,11.532,-11.064,1.14,0.0
11-013575,1.06,-27.852,1.14,0.0
11-013576,29.329,-2.167,1.14,0.0
11-013577,27.267,-28.937,1.14,0.0
11-013578,8.432,-12.121,1.14,0.0
11-013581,9.782,-11.48,1.13,0.0
11-013582,11.252,-5.126,1.13,0.0
11-013583,19.668,-4.388,1.13,0.0
11-013585,24.965,-14.973,1.13,0.0
11-013586,11.613,-23.035,1.13,0.0
11-013588,12.766,-23.36,1.13,0.0
11-013589,2.136,-16.829,1.13,0.0
11-013592,15.608,-25.476,1.13,0.0
11-013593,10.133,-26.802,1.13,0.0
11-013594,6.673,-18.687,1.13,0.0
11-013595,5.224,-12.838,1.13,0.0
11-013596,18.483,-10.48,1.13,0.0
11-013597,8.065,-2.113,1.13,0.0
11-013598,25.016,-20.646,1.13,0.0
11-013599,22.153,-20.587,1.13,0.0
11-013602,4.438,-15.833,1.13,0.0
11-013603,8.64,-4.147,1.13,0.0
11-013604,17.145,-15.223,1.13,0.0
11-013606,19.197,-21.48,1.13,0.0
11-013607,14.962,-7.65,1.13,0.0
11-013608,1.251,-14.767,1.13,0.0
11-013609,29.321,-9.86,1.13,0.0
11-013611,10.783,-27.954,1.13,0.0
11-013612,17.555,-9.25,1.13,0.0
11-013613,27.183,-26.632,1.13,0.0
11-013614,21.131,-20.548,1.13,0.0
11-013616,18.978,-13.731,1.13,0.0
11-013617,0.22,-26.237,1.13,0.0
11-013618,18.196,-4.78,1.13,0.0
11-013619,17.945,-25.155,1.13,0.0
11-013620,18.994,-14.876,1.13,0.0
11-013621,21.146,-12.539,1.13,0.0
11-013622,15.748,-15.985,1.13,0.0
11-013623,27.219,-18.458,1.13,0.0
11-013624,6.614,-25.621,1.13,0.0
11-013625,22.751,-2.673,1.13,0.0
11-013626,18.417,-5.366,1.13,0.0
11-013627,4.805,-29.726,1.13,0.0
11-013629,10.105,-1.479,1.13,0.0
11-013630,14.768,-10.958,1.13,0.0
11-013631,14.694,-22.508,1.13,0.0
11-013632,11.908,-17.432,1.13,0.0
11-013633,14.708,-14.048,1.13,0.0
11-013634,23.105,-15.493,1.13,0.0
11-013636,18.78,-19.965,1.13,0.0
11-013638,26.006,-10.827,1.13,0.0
11-013639,8.804,-2.378,1.13,0.0
11-013641,27.359,-11.691,1.13,0.0
11-013643,21.289,-12.927,1.13,0.0
11-013644,23.603,-6.961,1.13,0.0
11-013645,7.364,-12.263,1.13,0.0
11-013646,13.404,-24.32,1.13,0.0
11-013648,21.168,-0.384,1.13,0.0
11-013649,24.733,-13.468,1.13,0.0
11-013651,8.676,-5.736,1.13,0.0
11-013652,20.192,-17.357,1.13,0.0
11-013655,7.907,-16.749,1.13,0.0
11-013657,24.767,-4.329,1.13,0.0
11-013658,16.591,-15.742,1.13,0.0
11-013660,26.93,-1.806,1.13,0.0
11-013661,9.817,-23.463,1.13,0.0
11-013662,11.705,-21.189,1.13,0.0
11-013663,27.168,-10.716,1.13,0.0
11-013664,5.722,-17.428,1.13,0.0
11-013667,22.852,-27.327,1.13,0.0
11-013668,19.204,-0.209,1.13,0.0
11-013669,24.33,-7.306,1.13,0.0
11-013670,14.998,-14.418,1.13,0.0
11-013673,24.914,-6.036,1.13,0.0
11-013676,12.259,-16.261,1.13,0.0
11-013677,10.44,-8.026,1.13,0.0
11-013678,21.927,-19.886,1.13,0.0
11-013679,11.992,-18.048,1.13,0.0
11-013680,8.077,-13.339,1.13,0.0
11-013681,12.875,-21.658,1.13,0.0
11-013682,11.369,-15.238,1.13,0.0
11-013683,15.752,-11.538,1.13,0.0
11-013684,20.685,-20.674,1.13,0.0
11-013686,15.887,-23.241,1.13,0.0
11-013689,25.773,-4.957,1.13,0.0
11-013690,26.695,-9.174,1.13,0.0
11-013692,9.108,-3.494,1.13,0.0
11-013697,17.132,-11.802,1.13,0.0
11-013702,5.136,-23.926,1.13,0.0
11-013704,29.724,-5.854,1.13,0.0
11-013705,23.399,-17.968,1.13,0.0
11-013706,24.77,-4.728,1.13,0.0
11-013707,20.258,-2.974,1.13,0.0
11-013708,26.18,-3.178,1.13,0.0
11-013709,19.093,-20.954,1.13,0.0
11-013710,3.235,-19.414,1.13,0.0
11-013711,0.04,-6.109,1.13,0.0
11-013712,15.398,-29.042,1.13,0.0
11-013713,0.076,-18.344,1.13,0.0
11-013714,10.313,-26.68,1.13,0.0
11-013715,8.795,-18.024,1.13,0.0
11-013716,2.371,-25.621,1.13,0.0
11-013717,4.259,-22.302,1.13,0.0
11-013721,7.31,-0.207,1.13,0.0
11-013722,15.201,-28.276,1.13,0.0
11-013723,28.607,-10.528,1.13,0.0
11-013726,5.978,-24.868,1.13,0.0
11-013727,10.39,-16.632,1.13,0.0
11-013730,20.723,-4.336,1.13,0.0
11-013733,27.288,-8.288,1.13,0.0
11-013734,14.213,-3.604,1.13,0.0
11-013737,5.179,-4.445,1.13,0.0
11-013739,28.374,-9.855,1.13,0.0
11-013742,8.621,-7.45,1.13,0.0
11-013743,12.351,-18.123,1.13,0.0
11-013744,23.224,-8.605,1.13,0.0
11-013746,15.498,-16.071,1.13,0.0
11-013747,24.32,-26.768,1.13,0.0
11-013748,13.666,-16.985,1.13,0.0
11-013750,1.399,-11.433,1.13,0.0
11-013751,13.048,-23.886,1.13,0.0
11-013753,10.697,-14.402,1.13,0.0
11-013754,21.249,-10.061,1.13,0.0
11-013755,27.544,-19.3,1.13,0.0
11-013756,23.22,-4.361,1.13,0.0
11-013757,10.582,-25.091,1.13,0.0
11-013758,20.189,-17.892,1.13,0.0
11-013759,8.931,-25.074,1.13,0.0
11-013760,29.802,-28.633,1.13,0.0
11-013761,21.124,-29.251,1.13,0.0
11-013762,28.417,-3.778,1.13,0.0
11-013763,15.451,-6.304,1.13,0.0
11-013764,1.109,-23.325,1.13,0.0
11-013765,11.477,-18.231,1.13,0.0
11-013766,27.946,-21.331,1.13,0.0
11-013767,29.74,-3.363,1.13,0.0
11-013768,10.709,-3.468,1.13,0.0
11-013769,10.438,-11.809,1.13,0.0
11-013770,17.452,-9.737,1.13,0.0
11-013771,13.101,-7.26,1.13,0.0
11-013772,26.836,-8.087,1.13,0.0
11-013776,12.074,-24.684,1.13,0.0
11-013777,0.004,-24.521,1.13,0.0
11-013779,11.995,-4.934,1.13,0.0
11-013780,29.305,-8.654,1.13,0.0
11-013781,17.825,-25.278,1.13,0.0
11-013782,26.275,-22.84,1.13,0.0
11-013783,18.586,-19.737,1.13,0.0
11-013785,23.488,-18.195,1.13,0.0
11-013786,4.171,-12.709,1.13,0.0
11-013789,0.731,-27.842,1.12,0.0
11-013790,13.058,-21.669,1.12,0.0
11-013791,0.043,-29.678,1.12,0.0
11-013792,28.175,-13.219,1.12,0.0
11-013794,11.058,-12.37,1.12,0.0
11-013795,2.409,-4.55,1.12,0.0
11-013797,29.003,-8.596,1.12,0.0
11-013798,12.851,-15.022,1.12,0.0
11-013799,13.394,-12.849,1.12,0.0
11-013800,13.49,-26.792,1.12,0.0
11-013801,29.418,-7.841,1.12,0.0
11-013802,21.993,-13.244,1.12,0.0
11-013803,25.221,-4.544,1.12,0.0
11-013804,15.554,-20.069,1.12,0.0
11-013806,25.52,-0.723,1.12,0.0
11-013807,4.034,-2.106,1.12,0.0
11-013808,17.097,-1.947,1.12,0.0
11-013809,16.844,-11.095,1.12,0.0
11-013810,9.49,-17.747,1.12,0.0
11-013811,19.852,-0.978,1.12,0.0
11-013813,10.54,-16.424,1.12,0.0
11-013814,26.591,-0.355,1.12,0.0
11-013816,27.173,-16.944,1.12,0.0
11-013817,22.302,-25.527,1.12,0.0
11-013818,5.165,-15.849,1.12,0.0
11-013819,28.506,-10.522,1.12,0.0
11-013820,28.304,-14.627,1.12,0.0
11-013821,20.073,-5.416,1.12,0.0
11-013824,24.663,-13.369,1.12,0.0
11-013825,14.652,-16.503,1.12,0.0
11-013827,24.446,-16.09,1.12,0.0
11-013828,2.469,-15.725,1.12,0.0
11-013829,12.069,-22.506,1.12,0.0
11-013830,20.741,-25.58,1.12,0.0
11-013832,26.073,-15.648,1.12,0.0
11-013833,20.655,-3.993,1.12,0.0
11-013834,5.175,-11.673,1.12,0.0
11-013835,13.239,-4.244,1.12,0.0
11-013836,7.177,-3.202,1.12,0.0
11-013837,18.55,-14.986,1.12,0.0
11-013838,27.603,-13.127,1.12,0.0
11-013839,20.018,-0.745,1.12,0.0
11-013841,24.571,-5.442,1.12,0.0
11-013842,13.62,-3.404,1.12,0.0
11-013845,22.696,-22.762,1.12,0.0
11-013847,24.4,-6.044,1.12,0.0
11-013848,17.827,-14.697,1.12,0.0
11-013849,9.409,-18.873,1.12,0.0
11-013850,15.82,-16.012,1.12,0.0
11-013851,10.769,-17.891,1.12,0.0
11-013853,8.485,-16.804,1.12,0.0
11-013854,16.542,-11.253,1.12,0.0
11-013855,16.964,-25.793,1.12,0.0
11-013856,13.547,-7.374,1.12,0.0
11-013857,28.812,-17.71,1.12,0.0
11-013858,24.593,-5.557,1.12,0.0
11-013859,27.206,-10.805,1.12,0.0
11-013861,24.076,-21.83,1.12,0.0
11-013862,2.484,-13.311,1.12,0.0
11-013863,19.703,-1.957,1.12,0.0
11-013865,13.552,-5.75,1.12,0.0
11-013867,24.354,-15.926,1.12,0.0
11-013868,12.582,-22.589,1.12,0.0
11-013869,7.337,-27.668,1.12,0.0
11-013870,11.331,-12.63,1.12,0.0
11-013871,22.53,-28.144,1.12,0.0
11-013873,29.578,-10.846,1.12,0.0
11-013875,4.415,-19.52,1.12,0.0
11-013879,22.309,-5.049,1.12,0.0
11-013880,10.421,-16.772,1.12,0.0
11-013881,21.785,-20.155,1.12,0.0
11-013882,26.931,-13.085,1.12,0.0
11-013883,14.653,-19.605,1.12,0.0
11-013884,24.336,-14.779,1.12,0.0
11-013886,0.807,-12.705,1.12,0.0
11-013887,27.902,-23.357,1.12,0.0
11-013888,26.177,-7.353,1.12,0.0
11-013889,11.826,-4.107,1.12,0.0
11-013890,27.475,-8.49,1.12,0.0
11-013891,25.195,-24.682,1.12,0.0
11-013892,18.934,-25.694,1.12,0.0
11-013894,4.288,-13.501,1.12,0.0
11-013895,20.999,-19.821,1.12,0.0
11-013896,22.208,-25.843,1.12,0.0
11-013897,19.249,-0.728,1.12,0.0
11-013898,7.608,-8.996,1.12,0.0
11-013900,1.551,-17.265,1.12,0.0
11-013901,28.293,-24.091,1.12,0.0
11-013902,14.851,-8.295,1.12,0.0
11-013906,20.116,-1.223,1.12,0.0
11-013908,13.188,-13.027,1.12,0.0
11-013909,29.411,-6.984,1.12,0.0
11-013910,15.673,-15.845,1.12,0.0
11-013911,21.879,-20.236,1.12,0.0
11-013912,14.028,-23.915,1.12,0.0
11-013913,19.089,-15.523,1.12,0.0
11-013916,29.986,-17.21,1.12,0.0
11-013917,8.635,-26.959,1.12,0.0
11-013918,18.33,-13.67,1.12,0.0
11-013919,22.366,-4.865,1.12,0.0
11-013920,18.064,-19.334,1.12,0.0
11-013921,12.126,-6.428,1.12,0.0
11-013924,21.323,-4.807,1.12,0.0
11-013925,5.235,-17.246,1.12,0.0
11-013926,8.06,-27.626,1.12,0.0
11-013927,15.036,-1.528,1.12,0.0
11-013928,18.944,-22.448,1.12,0.0
11-013929,14.991,-10.135,1.12,0.0
11-013931,20.846,-0.045,1.12,0.0
11-013932,22.13,-0.796,1.12,0.0
11-013933,16.22,-19.72,1.12,0.0
11-013934,19.296,-0.187,1.12,0.0
11-013936,27.786,-21.904,1.12,0.0
11-013937,17.803,-14.257,1.12,0.0
11-013940,9.441,-2.615,1.12,0.0
11-013941,0.276,-5.432,1.12,0.0
11-013942,20.819,-4.262,1.12,0.0
11-013944,5.922,-24.559,1.12,0.0
11-013945,0.0,-11.545,1.12,0.0
11-013946,19.385,-21.335,1.12,0.0
11-013947,25.356,-17.779,1.12,0.0
11-013948,22.282,-24.225,1.12,0.0
11-013950,9.25,-27.192,1.12,0.0
11-013953,20.553,-1.066,1.12,0.0
11-013954,16.189,-28.184,1.12,0.0
11-013956,17.98,-1.592,1.12,0.0
11-013957,26.765,-21.378,1.12,0.0
11-013958,5.465,-29.202,1.12,0.0
11-013961,22.938,-15.508,1.12,0.0
11-013963,28.314,-23.103,1.12,0.0
11-013964,27.37,-12.613,1.12,0.0
11-013970,12.212,-17.098,1.12,0.0
11-013972,21.311,-13.625,1.12,0.0
11-013974,27.153,-14.089,1.12,0.0
11-013975,21.718,-20.0,1.12,0.0
11-013976,4.278,-9.256,1.12,0.0
11-013977,15.572,-25.121,1.12,0.0
11-013978,26.132,-2.161,1.12,0.0
11-013979,23.848,-8.476,1.12,0.0
11-013980,26.763,-22.43,1.12,0.0
11-013981,3.534,-29.978,1.12,0.0
11-013982,28.48,-14.722,1.12,0.0
11-013983,1.291,-24.27,1.12,0.0
11-013984,21.675,-20.445,1.12,0.0
11-013986,29.641,-25.794,1.12,0.0
11-013987,12.204,-26.673,1.12,0.0
11-013988,5.972,-14.098,1.12,0.0
11-013989,4.496,-23.615,1.12,0.0
11-013990,24.847,-20.135,1.12,0.0
11-013992,21.47,-7.518,1.11,0.0
11-013995,21.788,-14.625,1.11,0.0
11-013996,12.221,-20.192,1.11,0.0
11-013997,17.251,-25.022,1.11,0.0
11-013998,27.775,-11.551,1.11,0.0
11-014001,15.325,-20.697,1.11,0.0
11-014003,26.134,-2.432,1.11,0.0
11-014004,25.865,-9.484,1.11,0.0
11-014005,15.823,-19.551,1.11,0.0
11-014006,6.074,-20.519,1.11,0.0
11-014007,16.557,-14.716,1.11,0.0
11-014008,19.921,-14.726,1.11,0.0
11-014009,21.581,-11.788,1.11,0.0
11-014010,7.37,-26.789,1.11,0.0
11-014011,4.002,-29.604,1.11,0.0
11-014013,22.781,-21.334,1.11,0.0
11-014014,27.409,-27.344,1.11,0.0
11-014016,19.744,-17.764,1.11,0.0
11-014017,9.773,-10.671,1.11,0.0
11-014019,17.922,-26.074,1.11,0.0
11-014020,19.172,-13.301,1.11,0.0
11-014025,26.577,-7.819,1.11,0.0
11-014027,7.0,-26.434,1.11,0.0
11-014028,13.722,-5.325,1.11,0.0
11-014030,7.741,-12.517,1.11,0.0
11-014031,2.078,-10.173,1.11,0.0
11-014033,1.724,-9.596,1.11,0.0
11-014034,23.533,-23.254,1.11,0.0
11-014035,28.589,-2.794,1.11,0.0
11-014038,15.317,-23.331,1.11,0.0
11-014043,29.771,-14.481,1.11,0.0
11-014044,20.966,-13.311,1.11,0.0
11-014046,29.801,-8.46,1.11,0.0
11-014048,9.183,-12.854,1.11,0.0
11-014049,10.645,-21.467,1.11,0.0
11-014050,7.364,-2.772,1.11,0.0
11-014051,21.699,-14.707,1.11,0.0
11-014052,19.942,-9.922,1.11,0.0
11-014054,25.184,-8.113,1.11,0.0
11-014056,25.321,-20.553,1.11,0.0
11-014057,28.302,-22.551,1.11,0.0
11-014058,14.367,-4.453,1.11,0.0
11-014059,25.21,-4.601,1.11,0.0
11-014063,10.098,-11.187,1.11,0.0
11-014064,11.771,-15.089,1.11,0.0
11-014065,29.12,-0.902,1.11,0.0
11-014066,20.772,-13.886,1.11,0.0
11-014067,1.752,-13.576,1.11,0.0
11-014068,12.302,-18.415,1.11,0.0
11-014069,29.329,-14.226,1.11,0.0
11-014070,26.455,-4.044,1.11,0.0
11-014071,1.817,-14.543,1.11,0.0
11-014072,28.966,-29.008,1.11,0.0
11-014074,22.308,-28.381,1.11,0.0
11-014075,13.97,-2.619,1.11,0.0
11-014076,18.538,-13.891,1.11,0.0
11-014077,23.173,-19.877,1.11,0.0
11-014078,27.704,-21.855,1.11,0.0
11-014079,20.087,-19.168,1.11,0.0
11-014081,20.464,-17.69,1.11,0.0
11-014082,7.56,-5.664,1.11,0.0
11-014084,21.87,-23.595,1.11,0.0
11-014086,8.124,-13.553,1.11,0.0
11-014087,13.986,-22.335,1.11,0.0
11-014089,4.457,-24.145,1.11,0.0
11-014090,5.657,-16.181,1.11,0.0
11-014092,28.364,-17.221,1.11,0.0
11-014093,26.291,-7.722,1.11,0.0
11-014094,20.014,-19.13,1.11,0.0
11-014095,18.731,-9.003,1.11,0.0
11-014096,0.405,-5.072,1.11,0.0
11-014097,8.169,-29.282,1.11,0.0
11-014098,10.824,-18.256,1.11,0.0
11-014099,6.712,-3.662,1.11,0.0
11-014100,29.904,-1.075,1.11,0.0
11-014101,14.999,-24.893,1.11,0.0
11-014102,0.663,-26.407,1.11,0.0
11-014103,16.84,-0.869,1.11,0.0
11-014104,16.478,-14.765,1.11,0.0
11-014106,11.876,-7.92,1.11,0.0
11-014107,9.485,-16.159,1.11,0.0
11-014108,0.059,-7.79,1.11,0.0
11-014114,20.207,-10.214,1.11,0.0
11-014115,24.963,-25.206,1.11,0.0
11-014116,26.284,-28.639,1.11,0.0
11-014121,9.227,-0.768,1.11,0.0
11-014122,7.989,-27.141,1.11,0.0
11-014123,0.976,-21.15,1.11,0.0
11-014124,26.043,-5.823,1.11,0.0
11-014125,16.599,-22.556,1.11,0.0
11-014126,19.554,-22.481,1.11,0.0
11-014127,8.477,-25.728,1.11,0.0
11-014128,17.68,-13.796,1.11,0.0
11-014131,20.731,-21.935,1.11,0.0
11-014133,20.696,-3.38,1.11,0.0
11-014135,5.576,-11.847,1.11,0.0
11-014136,14.863,-27.262,1.11,0.0
11-014137,19.086,-22.29,1.11,0.0
11-014138,19.289,-1.338,1.11,0.0
11-014140,25.628,-18.556,1.11,0.0
11-014141,8.738,-23.842,1.11,0.0
11-014142,26.869,-18.068,1.11,0.0
11-014144,29.639,-6.269,1.11,0.0
11-014147,25.639,-4.065,1.11,0.0
11-014148,14.375,-0.832,1.11,0.0
11-014150,26.755,-29.839,1.11,0.0
11-014151,18.265,-1.039,1.11,0.0
11-014152,9.01,-14.649,1.11,0.0
11-014153,21.973,-22.975,1.11,0.0
11-014154,1.181,-21.59,1.11,0.0
11-014155,8.046,-19.779,1.11,0.0
11-014156,28.109,-17.802,1.11,0.0
11-014158,20.634,-12.328,1.11,0.0
11-014159,25.138,-25.899,1.11,0.0
11-014161,17.423,-18.528,1.11,0.0
11-014162,21.721,-14.636,1.11,0.0
11-014164,11.36,-25.361,1.11,0.0
11-014165,16.356,-18.704,1.11,0.0
11-014166,27.339,-10.033,1.11,0.0
11-014167,0.422,-14.727,1.11,0.0
11-014169,25.663,-6.171,1.11,0.0
11-014170,10.772,-9.974,1.11,0.0
11-014171,10.252,-4.422,1.11,0.0
11-014173,25.409,-20.901,1.11,0.0
11-014174,20.006,-28.208,1.11,0.0
11-014178,11.416,-10.817,1.11,0.0
11-014179,16.053,-8.146,1.11,0.0
11-014180,13.877,-5.134,1.11,0.0
11-014181,5.621,-13.486,1.11,0.0
11-014183,9.005,-26.445,1.11,0.0
11-014184,23.317,-19.935,1.11,0.0
11-014185,24.381,-5.161,1.11,0.0
11-014186,12.598,-21.488,1.11,0.0
11-014187,20.283,-17.992,1.11,0.0
11-014188,12.924,-24.905,1.11,0.0
11-014189,29.302,-9.49,1.11,0.0
11-014190,11.636,-2.533,1.11,0.0
11-014191,15.55,-17.737,1.11,0.0
11-014192,11.999,-8.867,1.11,0.0
11-014194,10.916,-3.15,1.11,0.0
11-014195,19.731,-4.443,1.11,0.0
11-014196,26.136,-10.354,1.11,0.0
11-014197,3.622,-1.677,1.11,0.0
11-014198,0.02,-23.028,1.11,0.0
11-014202,8.053,-18.716,1.1,0.0
11-014203,24.537,-25.65,1.1,0.0
11-014205,14.817,-22.845,1.1,0.0
11-014207,24.471,-23.797,1.1,0.0
11-014209,12.561,-21.758,1.1,0.0
11-014210,10.992,-16.682,1.1,0.0
11-014211,25.093,-16.622,1.1,0.0
11-014212,12.836,-11.242,1.1,0.0
11-014213,12.987,-16.544,1.1,0.0
11-014214,6.175,-25.374,1.1,0.0
11-014215,17.627,-0.753,1.1,0.0
11-014217,11.622,-26.702,1.1,0.0
11-014219,12.845,-27.516,1.1,0.0
11-014220,27.245,-11.317,1.1,0.0
11-014221,29.068,-13.319,1.1,0.0
11-014223,13.755,-2.918,1.1,0.0
11-014224,25.283,-21.771,1.1,0.0
11-014225,16.611,-26.178,1.1,0.0
11-014226,25.126,-11.663,1.1,0.0
11-014229,14.17,-23.991,1.1,0.0
11-014230,27.86,-13.225,1.1,0.0
11-014231,27.066,-13.467,1.1,0.0
11-014233,19.857,-1.0,1.1,0.0
11-014234,0.092,-26.441,1.1,0.0
11-014235,23.257,-29.11,1.1,0.0
11-014236,19.942,-0.925,1.1,0.0
11-014237,22.531,-5.077,1.1,0.0
11-014238,15.835,-19.791,1.1,0.0
11-014239,17.51,-23.448,1.1,0.0
11-014240,18.728,-11.399,1.1,0.0
11-014241,22.795,-3.303,1.1,0.0
11-014242,20.768,-2.174,1.1,0.0
11-014244,20.989,-7.948,1.1,0.0
11-014247,24.711,-5.287,1.1,0.0
11-014249,24.997,-13.058,1.1,0.0
11-014250,13.253,-17.444,1.1,0.0
11-014252,26.15,-17.97,1.1,0.0
11-014253,10.57,-13.872,1.1,0.0
11-014254,26.724,-7.901,1.1,0.0
11-014255,25.732,-10.272,1.1,0.0
11-014256,4.054,-27.918,1.1,0.0
11-014257,22.277,-4.88,1.1,0.0
11-014258,19.685,-0.81,1.1,0.0
11-014260,18.123,-27.819,1.1,0.0
11-014261,22.173,-1.05,1.1,0.0
11-014262,5.046,-0.709,1.1,0.0
11-014263,19.069,-19.829,1.1,0.0
11-014265,26.11,-3.655,1.1,0.0
11-014266,27.734,-21.434,1.1,0.0
11-014267,19.911,-22.176,1.1,0.0
11-014268,18.36,-24.906,1.1,0.0
11-014269,11.64,-20.326,1.1,0.0
11-014270,17.296,-0.972,1.1,0.0
11-014271,0.211,-26.941,1.1,0.0
11-014272,11.247,-18.299,1.1,0.0
11-014273,27.69,-12.966,1.1,0.0
11-014276,27.832,-10.198,1.1,0.0
11-014277,8.819,-25.571,1.1,0.0
11-014279,6.972,-27.487,1.1,0.0
11-014281,25.053,-11.103,1.1,0.0
11-014282,20.122,-22.858,1.1,0.0
11-014283,15.011,-7.529,1.1,0.0
11-014284,0.059,-19.76,1.1,0.0
11-014285,0.274,-26.302,1.1,0.0
11-014286,16.834,-14.163,1.1,0.0
11-014287,18.984,-11.445,1.1,0.0
11-014288,5.396,-28.136,1.1,0.0
11-014289,24.324,-22.002,1.1,0.0
11-014290,11.582,-21.514,1.1,0.0
11-014292,7.289,-23.663,1.1,0.0
11-014293,22.839,-4.074,1.1,0.0
11-014295,14.005,-21.135,1.1,0.0
11-014296,16.284,-14.064,1.1,0.0
11-014298,14.194,-24.434,1.1,0.0
11-014299,23.113,-9.062,1.1,0.0
11-014300,18.414,-23.428,1.1,0.0
11-014301,17.721,-16.466,1.1,0.0
11-014303,27.139,-14.483,1.1,0.0
11-014304,22.006,-26.494,1.1,0.0
11-014305,28.402,-16.81,1.1,0.0
11-014306,20.863,-0.454,1.1,0.0
11-014307,5.69,-22.131,1.1,0.0
11-014310,20.407,-1.609,1.1,0.0
11-014311,24.736,-14.663,1.1,0.0
11-014313,17.454,-10.34,1.1,0.0
11-014314,17.882,-9.342,1.1,0.0
11-014315,21.35,-26.278,1.1,0.0
11-014317,16.823,-19.173,1.1,0.0
11-014319,20.084,-23.016,1.1,0.0
11-014320,28.418,-2.719,1.1,0.0
11-014321,19.928,-8.383,1.1,0.0
11-014322,4.895,-16.939,1.1,0.0
11-014323,8.814,-16.488,1.1,0.0
11-014324,6.86,-20.196,1.1,0.0
11-014327,18.128,-9.106,1.1,0.0
