id,lat,lon,diam,depth
01-000788,75.654,-7.634,3.99,0.01
01-000808,67.757,-8.065,3.92,0.03
01-000812,76.309,-1.621,3.92,0.05
01-000818,72.893,22.12,3.9,0.02
01-000823,65.155,26.808,3.88,0.06
01-000830,68.762,5.232,3.86,0.02
01-000831,66.057,-5.575,3.86,0.05
01-000835,66.382,-2.943,3.85,0.0
01-000837,76.629,-27.502,3.85,0.0
01-000840,71.98,6.25,3.84,0.01
01-000841,75.356,21.268,3.84,0.0
01-000842,69.926,-25.933,3.84,0.01
01-000845,68.896,1.336,3.84,0.03
01-000848,67.026,-4.694,3.83,0.04
01-000851,65.964,-20.468,3.82,0.0
01-000853,69.608,-9.19,3.81,0.03
01-000856,66.533,-5.675,3.8,0.0
01-000861,75.833,-7.228,3.77,0.03
01-000862,69.116,-7.634,3.76,0.01
01-000866,66.159,-5.678,3.76,0.0
01-000873,68.952,-7.596,3.74,0.02
01-000879,77.36,-24.16,3.73,0.01
01-000885,70.931,8.555,3.71,0.01
01-000888,71.981,29.858,3.7,0.02
01-000889,71.444,7.466,3.69,0.01
01-000894,69.589,-4.392,3.68,0.03
01-000895,65.561,-14.422,3.68,0.0
01-000896,65.448,-4.692,3.68,0.0
01-000897,66.785,-13.273,3.68,0.04
01-000901,67.183,3.573,3.68,0.04
01-000903,67.895,-10.392,3.67,0.04
01-000905,68.928,-6.317,3.67,0.07
01-000906,71.038,0.073,3.67,0.0
01-000911,71.143,11.677,3.66,0.03
01-000919,70.41,21.332,3.64,0.0
01-000926,66.55,-6.835,3.62,0.06
01-000928,69.515,-8.911,3.62,0.0
01-000931,68.074,-3.286,3.61,0.03
01-000936,66.173,-23.093,3.6,0.0
01-000940,67.137,-0.943,3.59,0.03
01-000948,67.794,27.547,3.57,0.02
01-000949,71.179,-8.682,3.57,0.01
01-000951,71.18,9.456,3.56,0.02
01-000952,71.43,11.86,3.56,0.03
01-000953,68.371,-27.266,3.56,0.02
01-000956,76.919,13.242,3.55,0.02
01-000963,65.686,-15.408,3.53,0.0
01-000966,67.352,-6.245,3.52,0.0
01-000968,73.816,-23.828,3.52,0.02
01-000977,69.041,-8.868,3.5,0.02
01-000980,66.096,-5.162,3.5,0.06
01-000984,72.713,-27.859,3.49,0.03
01-000985,69.616,-14.465,3.49,0.0
01-000986,65.256,-3.475,3.49,0.0
01-000992,66.258,-5.495,3.47,0.0
01-000993,68.495,-4.988,3.47,0.01
01-000995,67.768,-12.738,3.47,0.03
01-000996,65.888,26.635,3.47,0.0
01-000998,67.18,-10.194,3.47,0.0
01-001002,70.412,-18.029,3.46,0.0
01-001015,67.426,-4.47,3.43,0.0
01-001019,66.98,-13.316,3.42,0.03
01-001020,68.439,-14.346,3.42,0.01
01-001026,68.116,-10.244,3.4,0.05
01-001027,70.86,-24.239,3.4,0.01
01-001028,67.461,0.824,3.4,0.0
01-001032,73.298,10.51,3.38,0.02
01-001035,70.939,-27.315,3.38,0.02
01-001037,71.784,-18.174,3.38,0.02
01-001038,67.397,-6.425,3.37,0.0
01-001043,75.237,-22.846,3.37,0.02
01-001046,66.454,-6.329,3.36,0.0
01-001049,66.549,10.591,3.35,0.03
01-001059,65.191,-3.402,3.33,0.0
01-001060,67.192,-13.5,3.33,0.0
01-001061,65.477,-4.195,3.33,0.0
01-001064,67.77,-12.487,3.32,0.0
01-001065,65.456,19.16,3.32,0.0
01-001066,65.371,-3.671,3.32,0.0
01-001067,74.86,-2.958,3.32,0.01
01-001068,65.029,8.276,3.32,0.0
01-001069,65.169,26.986,3.32,0.02
01-001070,69.247,-18.146,3.31,0.0
01-001071,68.559,-21.569,3.31,0.0
01-001072,72.009,-2.315,3.31,0.02
01-001076,67.148,13.823,3.3,0.02
01-001077,65.439,-15.226,3.3,0.0
01-001082,65.063,-17.973,3.29,0.0
01-001083,66.123,-2.292,3.29,0.03
01-001085,66.476,2.747,3.29,0.02
01-001086,65.732,9.429,3.29,0.01
01-001088,76.123,-7.946,3.29,0.01
01-001094,68.26,-12.813,3.27,0.0
01-001096,66.93,-10.14,3.27,0.0
01-001097,67.764,-1.729,3.27,0.01
01-001100,67.506,-10.296,3.27,0.03
01-001103,65.352,-13.321,3.27,0.0
01-001104,68.472,14.03,3.26,0.02
01-001105,66.153,-21.054,3.26,0.0
01-001106,75.366,26.638,3.26,0.0
